1,358,289
2,466,267
3,182,219
4,639,165
5,367,117
6,259,154
7,167,299
8,587,82
9,89,257
10,93,161
11,165,138
12,556,198
13,611,227
14,223,122
15,160,274
16,132,146
17,52,138
18,281,114
19,327,135
20,130,257
21,546,248
22,45,71
23,500,221
24,496,162
25,589,148
26,204,169
27,443,308
28,471,124
29,501,131
30,675,263
31,383,346
32,190,261
33,296,326
34,121,88
35,53,219
36,641,122
37,302,78
38,366,228
39,80,62
40,322,194
41,163,106
42,237,235
43,147,188
44,457,231
45,95,214
46,417,265
47,557,285
48,102,299
49,587,200
50,335,222
51,332,263
52,439,114
53,551,107
54,185,111
55,371,81
56,609,252
57,340,55
58,425,178
59,62,88
60,388,142
61,515,108
62,507,188
63,501,294
64,135,220
65,669,215
66,353,173
67,231,86
68,301,240
69,532,141
70,275,299
71,292,166
72,579,250
73,627,269
74,254,70
75,625,85
76,672,142
77,138,112
78,255,89
79,421,314
80,395,297
81,207,100
